S. No,SCHOOL ID,ZONE,NAME OF SCHOOL,HoS Name,Contact Number,Shift,SchoolLevel,Gender,Phone,Latitude,Longitude,Boys,Girls,Total,Career tour already conducting,Daignosis,Metro station
149,1152523,Shahdara North,DILSHAD GARDEN A-BLOCK (CO-ED)-1152523,HEM LATA YADAV,9999550100,General,Primary,Co-ed,,28.6793705597531,77.3142688047144,50,40,90,,yes,Jhilmil
150,1152012,Shahdara North,NAND NAGRI E (GIRLS)-1152012,MOTI KALA,9868829031,Morning,Primary,Girls,,28.6939355515192,77.3126872171612,0,69,69,,,
151,1152131,Shahdara North,GAMRI (BOYS)-1152131,LAL CHAND ,9013324045,Evening,Primary,Boys,,28.6956871649885,77.2577890839065,133,0,133,,,
152,1152125,Shahdara North,ARVIND NAGAR -II(BOYS)-1152125,HORAM SINGH,8459804644,Evening,Primary,Boys,,28.6920474592614,77.2635284667081,126,0,126,,,
153,1152096,Shahdara North,JYOTI COLONY (BOYS)-1152096,SHASHI GUPTA,9999703934,Evening,Primary,Boys,,28.6899524514405,77.2914649515171,131,0,131,,,
154,1152150,Shahdara North,MOHANPURI (GIRLS)-1152150,GEETA MISHRA,8076401507,Morning,Primary,Girls,,28.6954409673071,77.2727547551353,0,107,107,,,
155,1152149,Shahdara North,YAMUNA VIHAR B2-BLOCK (CO-ED)-1152149,MEENAKSHI SHARMA,8447482514,General,Primary,Co-ed,,28.7000112315855,77.2671260934284,52,63,115,,,
156,1152069,Shahdara North,NEW SEEMAPURI (BOYS)-1152069,TILAK RAJ,9968775813,Evening,Primary,Boys,,28.6886191392329,77.3289319356829,167,0,167,,,
157,1152133,Shahdara North,USMANPUR (BOYS)-1152133,BHANU PRATAP SINGH,9650657113,Evening,Primary,Boys,,28.6719270277306,77.2572229418686,136,0,136,,,
158,1152064,Shahdara North,DILSHAD COLONY (GIRLS)-1152064,SITA VERMA,7042632767,Morning,Primary,Girls,,28.683588863764,77.3294136231882,0,181,181,,,
159,1152135,Shahdara North,BRAHMPURI X (BOYS)-1152135,AJAY KUMAR,9953762897,Evening,Primary,Boys,,28.6827512218606,77.2624775099728,168,0,168,Brahmpuri X Block(Boys),yes,
160,1152095,Shahdara North,JYOTI COLONY (GIRLS)-1152095,SUSHIL KUMARI,8851291011,Morning,Primary,Girls,,28.6899372915261,77.2913452320263,0,156,156,,,
161,1152124,Shahdara North,ARVIND NAGAR -I(GIRLS)-1152124,KRISHAN KANT MADHUR,9999043455,Morning,Primary,Girls,,28.692028029719,77.263491229251,0,199,199,,,
162,1152068,Shahdara North,NEW SEEMAPURI (GIRLS)-1152068,MAMTA KUMARI,8448559894,Morning,Primary,Girls,,28.6886358170793,77.3289615424045,0,175,175,,,
163,1152132,Shahdara North,USMANPUR (GIRLS)-1152132,DEEPA TANDON,9891537999,Morning,Primary,Girls,,28.6718598448021,77.2571997184977,0,219,219,,,
164,1152134,Shahdara North,BRAHMPURI X (GIRLS)-1152134,HEMLATA,9711355142,Morning,Primary,Girls,,28.6753328200847,77.2726229115384,0,176,176,Brahmpuri X Block(Girls),yes,
165,1152155,Shahdara North,YAMUNA VIHAR C4-BLOCK (BOYS)-1152155,RAKESH KUMAR,9013412353,Evening,Primary,Boys,,28.7008773887116,77.2805983519951,61,0,61,,Yes,Yamuna Vihar
166,1152103,Shahdara North,BRAHMPURI T (GIRLS)-1152103,SHEELA SHARMA,9810196078,Morning,Primary,Girls,,28.6752973888368,77.2726004910366,0,141,141,,yes,Welcome
167,1152089,Shahdara North,BALBIR NAGAR EXTN (CO-ED)-1152089,SUNIL KUMAR,9868269662,General,Primary,Co-ed,,28.682821182782,77.287942653565,32,19,51,,,
168,1152013,Shahdara North,NAND NAGRI E (BOYS)-1152013,SHIVJI SAH GOND,9716723833,Evening,Primary,Boys,,28.693504156307,77.3132056581765,74,0,74,,,
169,1152060,Shahdara North,SUNDER NAGRI F1 (GIRLS)-1152060,RAJBALA,9873517046,Morning,Primary,Girls,,28.695692590939,77.3156147174837,0,71,71,,,
170,1152165,Shahdara North,ANKUR ENCLAVE (GIRLS)-1152165,NAGENDER KUMAR ,9650753460,Morning,Primary,Girls,,28.7295780413319,77.2718635346096,0,135,135,,,
171,1152130,Shahdara North,GAMRI (GIRLS)-1152130,ASHOK KUMAR SHARMA,9868893332,Morning,Primary,Girls,9810536709.0,28.6957225586821,77.2577281144605,0,133,133,,,
172,1051043,Shahdara South,MAYUR VIHAR PHASE-II C-BLOCK (CO-ED)-1051043,PRAGATI NAGAR,9871765244,General,Primary,Co-ed,,28.6180655423363,77.3085956656782,19,12,31,,yes,East Vinod Nagar Mayur vihar- II
173,1051045,Shahdara South,KALYAN PURI BLOCK-3 (GIRLS)-1051045, MADHU RANI,9999451498,Morning,Primary,Girls,,28.6191220451921,77.3179365017276,0,36,36,,,
174,1051050,Shahdara South,KALYANPURI BLOCK-12 (BOYS)-1051050,ANJU JAIN,8178658751,Evening,Primary,Boys,,28.6154693447897,77.3156415160362,65,0,65,,,
175,1051091,Shahdara South,CHANDER VIHAR (BOYS)-1051091,HARSHA MALHOTRA,9868244365,Evening,Primary,Boys,,28.6326053640505,77.2980293361188,57,0,57,,,
176,1051010,Shahdara South,MAYUR VIHAR PKT-1 PHASE-1 (BOYS)-1051010,GIRISH CHANDRA,9711260277,Evening,Primary,Boys,,28.6086247018665,77.2985081747357,65,0,65,,,
177,1051042,Shahdara South,PATPAR GANJ (BOYS)-1051042,MAHIPAL SINGH,8587893253,Evening,Primary,Boys,,28.6122545789528,77.2907251627388,52,0,52,,,
178,1051177,Shahdara South,ANAND VIHAR (BOYS)-1051177,ARCHANA JAIN,9818908133,Evening,Primary,Boys,,28.6513256471399,77.3116448045504,65,0,65,,,
179,1051040,Shahdara South,KHICHRI PUR (BOYS)-1051040,LOKESH KUMAR,9868569886,Evening,Primary,Boys,,28.6196521110049,77.3152344659497,67,0,67,,,
180,1051032,Shahdara South,"Mayur Vihar, Phase-I No.4 (Boys)-1051032",SUNIL KUMAR,9891937230,Evening,Primary,Boys,,28.6030654955863,77.2948797911418,84,0,84,,,
181,1051176,Shahdara South,ANAND VIHAR (GIRLS)-1051176,LILLY JHON,9871133331,Morning,Primary,Girls,,28.6512638033761,77.3117016320332,0,60,60,,,
182,1051090,Shahdara South,CHANDER VIHAR (GIRLS)-1051090,VIMMI WADHAWAN,9013484112,Morning,Primary,Girls,,28.6325351822292,77.2980902412168,0,79,79,,,
183,1051003,Shahdara South,TRILOKPURI BLOCK-27 (CO-ED)-1051003,PUSHPA TOLIA,9810549893,General,Primary,Co-ed,,28.6040010420075,77.3028746871284,31,34,65,,,
184,1051041,Shahdara South,PATPAR GANJ (GIRLS)-1051041,UMESH KUMAR,9868606523,Morning,Primary,Girls,,28.6122846249432,77.2908118423361,0,51,51,,,
185,1051039,Shahdara South,KHICHRI PUR (GIRLS)-1051039,ANITA KUMARI,8376903294,Morning,Primary,Girls,,28.6196521110049,77.3152344659497,0,50,50,,,
186,1051009,Shahdara South,MAYUR VIHAR PKT-1 PHASE-1 (GIRLS)-1051009,MAMTA RANI,9968077945,Morning,Primary,Girls,,28.6087237905467,77.2984674474633,0,88,88,,yes,Shree Ram Mandir Mayur Vihar
187,1051068,Shahdara South,MAYUR VIHAR PH-III PKT-A-1 (BOYS)-1051068,POONAM MALIK,8800704232,Evening,Primary,Boys,,28.6129120802978,77.3299222617312,96,0,96,,,
188,1051031,Shahdara South,MAYUR VIHAR PKT-4 PHASE-1 (GIRLS)-1051031,NEERU AGGARWAL,9013254122,Morning,Primary,Girls,,28.6030654955863,77.2948797911418,0,74,74,,,
189,1051087,Shahdara South,MANDAWALI EXT-II(BOYS)-1051087,ANSHUMAN TRIVEDI,9411903742,Evening,Primary,Boys,,28.6233832220206,77.2928147251797,96,0,96,,,
190,1051172,Shahdara South,BHEEKAM SINGH COLONY (GIRLS)-1051172,MADHU TAMANE,9910081716,Morning,Primary,Girls,,28.6682227522479,77.3025616865225,0,89,89,,,
191,1051173,Shahdara South,BHEEKAM SINGH COLONY (BOYS)-1051173,MANOJ KUMAR,9818323939,Evening,Primary,Boys,,28.6682564405411,77.3024758094198,110,0,110,,,
192,1051565,Shahdara South,VASUNDHARA ENCLAVE-II(BOYS)-1051565,NEETA KOCHHAR,9654512721,Evening,Primary,Boys,,28.5995416708036,77.316364224529,132,0,132,,,
193,1051503,Shahdara South,MAYUR VIHAR PH-III PKT-A-1 (GIRLS)-1051503,SUNENA AGGARWAL,9250111122,Morning,Primary,Girls,,28.6091115991439,77.3350551370585,0,125,125,,,
194,1051027,Shahdara South,VASHUNDHRA ENCLAVE-I(GIRLS)-1051027,ANJU JAIN,8744926144,Morning,Primary,Girls,,28.5995154573122,77.3163312009253,0,131,131,,,
195,1051012,Shahdara South,NEW ASHOK NAGAR (BOYS)-1051012,SUDHA DHIMRI,9968215422,Evening,Primary,Boys,,28.5929128704285,77.3075545808717,157,0,157,,,
196,1051566,Shahdara South,DALLUPURA (BOYS)-1051566,SUBHASH CHAND,9058083410,Evening,Primary,Boys,,28.6022102880343,77.3155074412217,200,0,200,,yes,Trilokpuri Sanjay Lake
197,1051134,Shahdara South,EAST OLD SEELAMPUR (GIRLS)-1051134,JITENDER KUMAR,8802802681,Morning,Primary,Girls,,28.6690001927705,77.2750248552806,0,153,153,,yes,Welcome
198,1051086,Shahdara South,MANDAWALI EXT-I(GIRLS)-1051086,KUSUM LATA,7042437111,Morning,Primary,Girls,,28.6233405588289,77.2926908316171,0,147,147,,,
199,1051163,Shahdara South,GAZIPUR VILLAGE (GIRLS)-1051163,VEENA KUMARI,9871177496,Morning,Primary,Girls,,28.6308926522407,77.3192713019055,0,188,188,,yes,IP Extension
200,1051011,Shahdara South,NEW ASHOK NAGAR (GIRLS)-1051011,NEELAM SEHGAL,9810161980,Morning,Primary,Girls,,28.5929443578457,77.3075138867301,0,219,219,,yes,New Ashok Nagar
201,1051164,Shahdara South,GAZIPUR VILLAGE (BOYS)-1051164,VINOD PRASAD,9891077064,Evening,Primary,Boys,,28.6309549079766,77.3194311158726,147,0,147,,yes,IP Extension
202,1051131,Shahdara South,RAJGARH COLONY (CO-ED)-1051131,VIPIN MITTAL,9650535455,General,Primary,Co-ed,,28.6594798783651,77.2718644177153,20,22,42,,,
203,1051049,Shahdara South,KALYANPURI BLOCK-12 (GIRLS)-1051049,GEETA,8588806762,Morning,Primary,Girls,,28.6154381325749,77.3155401937754,0,41,41,,,
204,1051170,Shahdara South,WEST VISHWAS NAGAR (CO-ED)-1051170,SHALINI GROVER,7503495647,General,Primary,Co-ed,,28.6676460983613,77.2968328705936,30,39,69,,,
205,1051109,Shahdara South,LAXMI NAGAR J-K-BLOCK (CO-ED)-1051109,RENU GIRDHAR,7042410716,General,Primary,Co-ed,,28.6326441042678,77.2757470689498,34,29,63,,yes,laxmi nagar
206,1051148,Shahdara South,KRISHNA NAGAR F-BLOCK (CO-ED)-1051148,HEMLATA SHARMA,9910455673,General,Primary,Co-ed,,28.6593714392288,77.2864436034231,26,27,53,,,
207,1051030,Shahdara South,MAYUR VIHAR PHASE-II F-BLOCK (CO-ED)-1051030,ASHA RANI,9810725460,General,Primary,Co-ed,,28.617345781338,77.2972751292908,34,50,84,,,
208,1051023,Shahdara South,TRILOKPURI BLOCK-16 (CO-ED)-1051023,SHIKHA JINDAL,9312425722,General,Primary,Co-ed,,28.6080949010718,77.3080038618422,36,45,81,,,
209,1051093,Shahdara South,GAZIPUR DDA FLAT (CO-ED)-1051093,JYOTI SHARMA,9716097106,General,Primary,Co-ed,,28.6219511457656,77.3219696621229,27,34,61,,,
210,1959157,South,BASANT NAGAR (BOYS)-1959157,VIMLESH GOUR (I/C),9810126349,Evening,Primary,Boys,,28.574139063246,77.1589387820344,30,0,30,,,
211,1959156,South,BASANT NAGAR (GIRLS)-1959156,VIMLESH GOUR (I/C),8447601522,Morning,Primary,Girls,,28.5740352767747,77.1589181400298,0,25,25,,,
212,1959047,South,R K PURAM SEC 2 (CO-ED)-1959047,ANITA DEVI,9818130621,General,Primary,Co-ed,,28.5599220559845,77.1851909164525,19,16,35,,,
213,1959054,South,CPWD VASANT VIHAR (GIRLS)-1959054,Vijay Lakshmi,9810276268,Morning,Primary,Girls,,28.5558192770423,77.1591346743206,0,51,51,,,
214,1959102,South,DR AMBEDKAR NAGAR SEC 1 NO 1 (GIRLS)-1959102,PINKI SHARMA (I/C),9717666142,Morning,Primary,Girls,,28.5168996861034,77.2309323597552,0,72,72,,,
215,1959158,South,NEB SARAI (BOYS)-1959158,PREETHA BHASKAR,9971759938,Evening,Primary,Boys,,28.5028823758033,77.2004504975405,108,0,108,,,
216,1959068,South,NEB SARAI (GIRLS)-1959068,ANITA VATS ,8802425139,Morning,Primary,Girls,,28.5025568462484,77.2006504846447,0,85,85,,,
217,1959073,South,AAYA NAGAR (GIRLS)-1959073,SUNITA CHAUHAN (I/C),8384045390,General,Primary,Girls,,28.4784329755111,77.129481810099,0,205,205,,,
218,1959100,South,PUSHP VIHAR SEC 5 (CO-ED)-1959100,SOPHIA KHES,8700733807,General,Primary,Co-ed,,28.5227815983026,77.2243874060785,22,11,33,,,
219,1959030,South,HAUZ KHAS ENCLAVE (CO-ED)-1959030,PUSHPA LAKRA,9654177260,General,Primary,Co-ed,,28.5538240960542,77.2095855389212,23,18,41,,,
220,1959020,South,ARJUN NAGAR (CO-ED)-1959020,Anju Goyal,9899393611,General,Primary,Co-ed,,28.5609860595359,77.2004392537406,19,24,43,,yes,Greenpark
221,1958412,South,KAILASH COLONY (CO-ED)-1958412,DEEPA ARORA,9811160757,General,Primary,Co-ed,,28.5521600128932,77.2422127007868,44,37,81,,,
222,1959013,South,SHAHPUR JAT (CO-ED)-1959013,NITI GAUR ,9910043198,General,Primary,Co-ed,,28.5487854438764,77.2122383770686,46,44,90,,,
223,1959108,South,DEVLI NO 1 (GIRLS)-1959108,PRATIMA KERKETTA,9250832058,Morning,Primary,Girls,,28.5022258527463,77.2253639981617,0,108,108,Deoli No 1(Girls),yes,
224,1959151,South,SHEIKH SARI (CO-ED)-1959151,PARTAP CHAND DUNG DUNG,9910541607,General,Primary,Co-ed,,28.5350369331976,77.2305738679808,49,46,95,,,
225,1959010,South,MALVIYA NAGAR (GIRLS)-1959010,VANDANA,9968474176,General,Primary,Girls,,28.5368553339988,77.2141630512222,0,136,136,,,
226,1959059,South,MEHRAULI VILLAGE (GIRLS)-1959059,SUMAN LATA,9318487241,General,Primary,Girls,,28.5215906447854,77.1782640574024,0,109,109,,,
227,1959072,South,SULTAN PUR (CO-ED)-1959072,KUINUD WADHWA,9289810743,General,Primary,Co-ed,,28.4983110255593,77.1602361452602,59,53,112,,yes,Sultanpur
228,1959060,South,MEHRAULI KOTHI KALE KHAN (CO-ED)-1959060,REKHA SARIN,9891468269,General,Primary,Co-ed,,28.5216000636231,77.1786711785945,68,68,136,Mehrauli Kothi Kale Khan(Coed),yes,
228,1959055,South,CPWD Colony Vasant Vihar(Boys),SUNITA RATHI,9711484745,Evening,Primary,Co-ed,,,,44,0,44,,,
229,1757247,South,RAJOKARI (BOYS)-1757247,ASHA RANI,9910453545,General,Primary,Boys,,28.5155355968417,77.1101323554644,132,0,132,,,
229,1958411,South,Sant Nagar(Coed),SANDHYA NARESH,9899706191,General,Primary,Co-ed,,,,27,27,54,,,
230,1959044,South,R K PURAM SEC 12 (CO-ED)-1959044,Amarjeet,9968102200,General,Primary,Co-ed,,28.5761326983827,77.1757761611352,14,16,30,,,
231,1959099,South,PUSHP VIHAR SEC 4 (CO-ED)-1959099,VICTORIA LUGUN,8368399611,General,Primary,Co-ed,,28.5267073624312,77.2283210543934,13,19,32,,,
232,1959049,South,R K PURAM SEC 4 (CO-ED)-1959049,ANITA,9868517606,General,Primary,Co-ed,,28.5593290423553,77.17810486302,13,23,36,RK Puram Sector4(Coed),yes,
233,1959023,South,HIMAYUN PUR (CO-ED)-1959023,INDER MANI MISHRA,9899385871,General,Primary,Co-ed,,28.5623603785956,77.1940329480918,27,26,53,,,
234,1959026,South,GAUTAM NAGAR (CO-ED)-1959026,SUNITA RANI,9871516408,General,Primary,Co-ed,,28.562643921958,77.2199062717044,18,25,43,,,
235,1959064,South,LADO SARAI (BOYS)-1959064,Veena Pant (IC) -NEW,9811553954,General,Primary,Boys,1129522367.0,28.5248022098401,77.1966220334261,64,0,64,,,
236,1959136,South,KHANPUR VILLAGE (GIRLS)-1959136,MAYA KUMARI,9811160757,General,Primary,Girls,,28.4951005437337,77.2268649751851,0,55,55,,,
237,1958413,South,JAMROOD PUR (CO-ED)-1958413,ANJU BALA,9717116450,General,Primary,Co-ed,,28.5584278934251,77.2363745126213,42,30,72,,,
238,1959037,South,R K PURAM SEC 5 (CO-ED)-1959037,RAJESH KUMAR KAIN (I/C),9868708851,General,Primary,Co-ed,,28.5622720827758,77.1733994940177,32,25,57,,,
239,1959094,South,PUSHP VIHAR SEC 1 NO 1 (CO-ED)-1959094,MEENU AGARWAL(Sanjeev),9891824243,General,Primary,Co-ed,,28.5238385464537,77.219044757131,32,25,57,Pushap Vihar Sector1 No 1(Coed),yes,
240,1959063,South,LADO SARAI (GIRLS)-1959063,Rakhi Jain,9968296242,General,Primary,Girls,,28.5246279717447,77.1975035020304,0,56,56,,,
241,1959056,South,INDIA AIRLINE COLONY (CO-ED)-1959056,VED PRAKASH KATRIYA,8800114899,General,Primary,Co-ed,,28.5567499692571,77.1557685694465,37,35,72,,yes,Vasant Vihar
242,1959117,South,SANGAM VIHAR K (BOYS)-1959117,SHAHIDA KHATOON,8384045390,Evening,Primary,Boys,,28.4946320053161,77.2524756113607,90,0,90,,,
243,1959041,South,R K PURAM SEC 7 (CO-ED)-1959041,SARASWATI,9999237102,General,Primary,Co-ed,,28.5693925494574,77.1711986811889,45,27,72,,,
244,1959116,South,SANGAM VIHAR K II (GIRLS)-1959116,HRISHIKESH SINGH,9650880439,Morning,Primary,Girls,,28.4945491336934,77.2526359873148,0,99,99,,,
245,1959091,South,BHATI MINES (BOYS)-1959091,RAMCHARAN MEENA,9868380144,Evening,Primary,Boys,,28.4282980701365,77.2259244888724,99,0,99,,,
246,1959093,South,SAKET G-BLOCK (CO-ED)-1959093,NEELAM SANSANWAL,9910954442,General,Primary,Co-ed,,28.5219843862385,77.2103353975223,59,51,110,,,
247,1959101,South,PUSHP VIHAR SEC 7 (CO-ED)-1959101,RAJBEER SINGH,9968528743,General,Primary,Co-ed,,28.5281732076032,77.2289489052382,51,58,109,,,
248,1959070,South,MAIDAN GARI (CO-ED)-1959070,SHASHI BALA,9810590696,General,Primary,Co-ed,,28.4980321601966,77.1986334175193,63,69,132,,,
249,1959050,South,MUNIRIKA (CO-ED)-1959050,RITU (I/C),9312597857,General,Primary,Co-ed,,28.5544135309533,77.1692180294352,55,53,108,,,
250,1959086,South,FATEH PUR BERI (BOYS)-1959086,SEEMA RANI,9911227044,General,Primary,Boys,,28.4612386842434,77.1826941164072,179,0,179,,,
251,1959001,South,CHIRAG (CO-ED)-1959001,MAHENDER PAL,9810493144,General,Primary,Co-ed,,28.5350379667262,77.2306564291995,75,87,162,,Yes,Chirag delhi
252,1757248,South,RAJOKARI (GIRLS)-1757248,ASHA RANI,9868162462,General,Primary,Girls,,28.5150582802404,77.1134878610099,0,142,142,,,
253,1959085,South,FATEH PUR BERI (GIRLS)-1959085,ANAMIKA NARANG,8383807446,General,Primary,Girls,,28.4599961792014,77.1821661066524,0,172,172,,,
254,1959080,South,CHATTARPUR MANDIR (BOYS)-1959080,ASHA EKKA,8826304837,General,Primary,Boys,,28.5029203713146,77.1815593842629,179,0,179,,,
255,1757254,South,KISHAN GARH (CO-ED)-1757254,AVDESH MEHTO,9821173843,General,Primary,Co-ed,,28.5175920628236,77.1649551131372,109,93,202,,Yes,Chhattarpur
256,1556056,West,TILAK NAGAR NO 1 (CO-ED)-1556056,RASHMAI ARORA,9899775163,General,Primary,Co-ed,,28.6401600113986,77.1000779891627,16,47,63,,,Tilak Nagar
257,1556041,West,SUBHASH NAGAR MARKET BLOCK 9 (CO-ED)-1556041,REKHA GREWAL,9968265020,General,Primary,Co-ed,,28.6366658729752,77.1197907430352,26,42,68,,,Subhash Nagar
258,1556046,West,TAGORE GARDEN EA (BOYS)-1556046,ANURADHA SURI,9968287793,Evening,Primary,Boys,,28.648982614644,77.1127869278941,84,0,84,,,Tagore Garden
259,1556082,West,MADI PUR J J COLONY (CO-ED)-1556082,GEETA KOHLI,9211290842,General,Primary,Co-ed,,28.6704949710802,77.114034208453,41,31,72,,,Madipur
260,1556017,West,JANAK PURI B-1 (CO-ED)-1556017,SURINDER KAUR GERANGAL,9999825818,General,Primary,Co-ed,,28.6294579127208,77.0853441991017,54,35,89,,,
261,1556051,West,CHAUKHANDI OLD (GIRLS)-1556051,VEENA KUMARI,9717704574,Morning,Primary,Girls,,28.6443529696196,77.0991402244924,0,90,90,Chaukhandi(Girls),Yes,Subhash Nagar
262,1556096,West,KHYALA NEW (BOYS)-1556096,SUSHEELA RANI,9818605442,Evening,Primary,Boys,,28.6580854528808,77.1013679068609,111,0,111,,,Subhash Nagar
263,1556078,West,RAGHUBIR NAGAR B-3 (GIRLS)-1556078,NEERJA AGGARWAL,7011796781,Morning,Primary,Girls,,28.6563376642473,77.1101425477525,0,100,100,,,
264,1556134,West,NAWADA VILLAGE (BOYS)-1556134,RAM JATAN,9899089527,Evening,Primary,Boys,,28.6234326261126,77.0455173206252,111,0,111,,Yes,Nawada
265,1556045,West,TAGORE GARDEN EA (GIRLS)-1556045,PINKI SHARMA,9899211173,Morning,Primary,Girls,,28.6489101423558,77.1128414967399,0,96,96,,,Tagore Garden
266,1556097,West,KHYALA OLD (GIRLS)-1556097,SANTOSH JAIN,9868935770,Morning,Primary,Girls,,28.6554848304759,77.0957482973631,0,97,97,,,Subhash Nagar
267,1556099,West,CHAND NAGAR B-BLOCK (GIRLS)-1556099,ASHA RANI,9958152223,Morning,Primary,Girls,,28.6484286230026,77.0985098930883,0,119,119,Chand Nagar B Block(Girls),,Subhash Nagar
268,1556016,West,JANAK PURI C-5 (CO-ED)-1556016,ANITA KALSAN,9711518088,General,Primary,Co-ed,,28.6151598848561,77.0953638024407,60,56,116,,,
269,1556095,West,KHYALA NEW (GIRLS)-1556095,SUNITA,8802552299,Morning,Primary,Girls,,28.6580865993904,77.1012940395133,0,104,104,,,Subhash Nagar
270,1556116,West,HASTSAL VILLAGE NO 2 (GIRLS)-1556116,PRIYA ARORA,9818325213,Morning,Primary,Girls,,28.6321329168483,77.0582105010695,0,149,149,,,
271,1556071,West,VISHAL ENCLAVE (CO-ED)-1556071,SARWAT PARVEEN,9911222609,General,Primary,Co-ed,,28.655474138131,77.0957471261417,78,41,119,,,
272,1556469,West,RAZA PUR KHURD NO 4 (CO-ED)-1556469,PRAKASH CHAND MEENA,9868668145,General,Primary,Co-ed,11111111111.0,28.630444,77.03224,68,63,131,,,Dwakra Mor
273,1556068,West,BASAI DARA PUR (CO-ED)-1556068,KANCHAN SAXENA,989916905,General,Primary,Co-ed,,28.6567742232881,77.1310204217422,68,63,131,Basai Dara Pur(Coed),Yes,Ramesh Nagar
274,1556015,West,JANAK PURI C 4 E (CO-ED)-1556015,Leena Joon,9971381358,General,Primary,Co-ed,,28.6169343734858,77.0892366400122,85,68,153,,Yes,Dabari Mor Janakpuri south
275,1556470,West,RAZA PUR KHURD NO 3 (CO-ED)-1556470,ARVIND KUMAR,8178557751,General,Primary,Co-ed,9999999999.0,28.629598,77.0345379999999,90,94,184,,,Dwakra Mor
276,1556128,West,RANHOLLA (BOYS)-1556128,RAKESH KUMAR GUPTA,9899967443,Evening,Primary,Boys,,28.6560440063679,77.0400288024012,194,0,194,,Yes,Nangloi
277,1556111,West,VIKAS PURI GG-3 (CO-ED)-1556111,MEENA CHAUHAN,9868829696,General,Primary,Co-ed,,28.6425674487265,77.0782934172825,113,95,208,,Yes,Krishna Nagar Ext
278,1556114,West,HASTSAL VILLAGE NO 1 (GIRLS)-1556114,PARUL JAIN,9818236987,Morning,Primary,Girls,,28.6320686909484,77.0587721189028,0,164,164,,,
279,1556142,West,RAZA PUR KHURD NO 2 (GIRLS)-1556142,ANITA KUMARI,9313909316,Morning,Primary,Girls,,28.6430830768072,77.0332485589839,0,256,256,,Yes,Dwakra Mor
280,1556127,West,RANHOLLA (GIRLS)-1556127,SAVITA,9896757493,Morning,Primary,Girls,,28.6560022684129,77.0399467956955,0,217,217,,Yes,Nangloi
281,1556131,West,UTTAM NAGAR NEW NO. 2 (GIRLS)-1556131,KAMLESH DEVI,9953721442,Morning,Primary,Girls,,28.6092713737992,77.0687016963531,0,194,194,Uttam Nagar No 2(Girls),Yes,Uttamnagar east
282,1556368,West,RAZA PUR KHURD NO 1 (GIRLS)-1556368,MD. RAZA HASAN,9911197864,Morning,Primary,Girls,,28.6255836386785,77.0453673276575,0,210,210,Raza Pur Khurd No 1(Girls),Yes,Dawarka Mor
283,1556058,West,TILAK NAGAR NO 3 (CO-ED)-1556058,SUMAN TANWAR,9811340420,General,Primary,Co-ed,,28.619272202683,77.2828512882475,20,20,40,,,Tilak Nagar
284,1556112,West,VIKAS PURI SITE 4 (CO-ED)-1556112,MEENA ANAND,9650118849,General,Primary,Co-ed,,28.6383500638605,77.0715618034994,25,30,55,,,
285,1556087,West,SHIVAJI PARK (CO-ED)-1556087,Mahender Kaur ,8447286364,General,Primary,Co-ed,,28.6719058724001,77.1320244466037,35,20,55,,Yes,Madipur
286,1556063,West,RAJOURI GARDEN SOUTH (CO-ED)-1556063,ASHA,9717320956,General,Primary,Co-ed,,28.6440739230869,77.1243689649742,36,35,71,,,
287,1556029,West,HARI NAGAR L BLOCK (CO-ED)-1556029,MANJU BALA,9891165360,General,Primary,Co-ed,,28.628204467433,77.1037747140722,32,28,60,,,
288,1556037,West,TIHAR NO 1 BLOCK 6 (CO-ED)-1556037,HEERA DEVI,9013489263,General,Primary,Co-ed,,28.6388277721328,77.1130822682508,43,34,77,,,
289,1556007,West,JANAK PURI C-2 (CO-ED)-1556007,SUCHITRA SHARMA,8860680534,General,Primary,Co-ed,,28.6193721018902,77.0854989289734,44,36,80,,,
290,1757435,West,UTTAM NAGAR NEW NO 1 (CO-ED)-1757435,KUMKUM SHARMA,9868183444,General,Primary,Co-ed,,28.6208083989745,77.0564526754234,42,45,87,,,Uttamnagar east
291,1556094,West,PUNJABI BAGH EXTN (CO-ED)-1556094,Neeta Yadav,98110063248,General,Primary,Co-ed,,28.6644042968742,77.1197442106233,46,34,80,,,Punjabi Bagh
292,1556062,West,VIKAS PURI B-BLOCK (CO-ED)-1556062,NEERU KAPOOR,7703892215,General,Primary,Co-ed,,28.6310968683802,77.071318414992,59,39,98,,,
293,1556144,West,BAKKAR WALA J J COLONY B-BLOCK (CO-ED)-1556144,SURENDRA KUMAR,9315932574,General,Primary,Co-ed,,28.6632621894016,77.015261313007,56,75,131,,,Mundka Industrial
294,1556141,West,BAKKAR WALA J J COLONY G-BLOCK (CO-ED)-1556141,DEVENDER PRASAD SINGH,9968416922,General,Primary,Co-ed,,28.6645024637611,77.0132541402292,63,42,105,Bakkar Wala JJ Colony G Block(Coed),Yes,Mundka Industrial
295,1556080,West,PASCHIM PURI1212 (CO-ED)-1556080,SIMMI KHANNA,9871250505,General,Primary,Co-ed,,28.6701710746473,77.1142385681572,52,55,107,,,
296,1757433,West,UTTAM NAGAR OLD (CO-ED)-1757433,RAM KUMAR GUPTA,9868389535,General,Primary,Co-ed,,28.6207747914181,77.0621352408734,81,56,137,,Yes,Uttamnagar west
297,1556133,West,NAWADA VILLAGE (GIRLS)-1556133,MINAKSHI,8587094790,Morning,Primary,Girls,,28.6233537411744,77.045523908755,0,143,143,,Yes,Nawada
